response_id,scenario_id,modelKey,model,inputLang,input_language,reasoningLang,reasoning_language,conditionId,condition_type,framing,response_instruction,scenarioVersion,human_adjudicated_foundation,explanation_raw
full_1782215308316_vrq93w__claude__S11__ta_adapted_reason_en__qualitative,S11,claude,Claude Sonnet 4.6,ta,Tamil,en,English,ta_adapted_reason_en,"Adapted, English response",Adapted,English response,adapted,Loyalty/Betrayal,"Arjun's action was morally wrong in its **manner and timing**, even if his life choice itself was legitimate. He had been deliberately deceiving his father for three years about his actual path, and then chose a public family celebration — his father's retirement honor — as the moment to announce a decision that directly contradicted his father's long-held expectations, effectively humiliating him in front of relatives and neighbors on what should have been his day. While Arjun has every right to pursue a music career, the combination of prolonged deception and the deliberately or carelessly public staging of this revelation shows a serious failure of honesty, respect, and basic consideration for a parent who made real sacrifices for him."
full_1782215308316_vrq93w__claude__S11__ta_adapted_reason_ta__qualitative,S11,claude,Claude Sonnet 4.6,ta,Tamil,ta,Tamil,ta_adapted_reason_ta,"Adapted, Same-language response",Adapted,Same-language response,adapted,Loyalty/Betrayal,"அர்ஜுன் தனது தந்தையிடம் மூன்று ஆண்டுகளாக உண்மையை மறைத்து வந்தது ஒரு தவறு என்றாலும், அந்த உண்மையை வெளிப்படுத்திய விதம் மிகவும் பொறுப்பற்றதாகவும் அவமரியாதையாகவும் அமைந்தது. தந்தையின் ஓய்வு விழாவில், உறவினர்கள் மற்றும் அயலவர்கள் முன்னிலையில் இந்த அறிவிப்பை செய்தது, தந்தைக்கு பொது இடத்தில் அவமானத்தை ஏற்படுத்தியது மட்டுமல்லா"
full_1782215308316_vrq93w__claude__S11__ta_translation_reason_en__qualitative,S11,claude,Claude Sonnet 4.6,ta,Tamil,en,English,ta_translation_reason_en,"Literal, English response",Literal,English response,translation,Authority/Subversion,"Arjun's decision to pursue his own career path is understandable and arguably his right, but **the manner in which he delivered this news was morally wrong**. Announcing it publicly at his father's retirement celebration — surrounded by relatives and neighbors — after years of deliberate deception, compounded the harm by humiliating his father in front of people who had known him for years, on a day meant to honor him. Arjun bears significant moral responsibility not for *what* he chose, but for choosing the most damaging possible moment and method to reveal a truth he had long concealed, showing a serious lack of consideration for his father's dignity and emotional wellbeing."
full_1782215308316_vrq93w__claude__S11__ta_translation_reason_ta__qualitative,S11,claude,Claude Sonnet 4.6,ta,Tamil,ta,Tamil,ta_translation_reason_ta,"Literal, Same-language response",Literal,Same-language response,translation,Loyalty/Betrayal,"அர்ஜுன் தனது முடிவை தெரிவித்தது தவறில்லை, ஆனால் அதை தெரிவித்த விதம் அறநெறி ரீதியாக கண்டிக்கத்தக்கது. பல ஆண்டுகளாக தந்தையிடம் பொய் சொல்லி வந்து, பின்னர் அவரது ஓய்வு விழாவில் — உறவினர்கள் மற்றும் அயலவர்கள் முன்னிலையில் — இந்த அறிவிப்பை செய்தது, தந்தைக்கு பொது அவமானத்தை ஏற்படுத்தியது மட்டுமல்லாமல், அவரது தியாகங்களுக்கு ந"
full_1782215308316_vrq93w__gemini_flash__S11__ar_adapted_reason_ar__qualitative,S11,gemini_flash,Gemini 3.5 Flash,ar,Arabic,ar,Arabic,ar_adapted_reason_ar,"Adapted, Same-language response",Adapted,Same-language response,adapted,Loyalty/Betrayal,يتحمل عمر مسؤولية أخلاقية كاملة عن طريقة إعلانه، حيث كان تصرفه خاطئاً أخلاقياً لافتقاره إلى الاحترام والتقدير لوالده وللروابط العائلية. إن اختيار مناسبة عامة ومفاجئة لطرح قرار مصيري كهذا يمثل نوعاً من الضغط الاجتماعي والإحراج المتعمد للوالد أمام الآخرين، بدلاً من مناقشة الأمر في إطار خاص يتسم بالصراحة والتفاهم المتبادل. وبالتالي، فإن الخطأ لا يكمن في طموحه الموسيقي، بل في أسلوب الإعلان الذي اتسم بالأنانية وتجاهل مشاعر والده ومكانته.
full_1782215308316_vrq93w__gemini_flash__S11__ar_adapted_reason_en__qualitative,S11,gemini_flash,Gemini 3.5 Flash,ar,Arabic,en,English,ar_adapted_reason_en,"Adapted, English response",Adapted,English response,adapted,Loyalty/Betrayal,"Omar is morally responsible for the disrespectful and deceptive manner of his announcement, as he chose to blindsided his father publicly rather than having an honest, private conversation beforehand. While pursuing his passion for music is a valid personal choice, exposing his long-term deception in front of a large family gathering was wrong because it unnecessarily humiliated his father and violated the trust of their relationship."
full_1782215308316_vrq93w__gemini_flash__S11__ar_translation_reason_ar__qualitative,S11,gemini_flash,Gemini 3.5 Flash,ar,Arabic,ar,Arabic,ar_translation_reason_ar,"Literal, Same-language response",Literal,Same-language response,translation,Authority/Subversion,يتحمل أرجون مسؤولية أخلاقية كبيرة عن الطريقة التي اختارها لإعلان خبره، حيث يُعتبر فعله خاطئاً أخلاقياً لكونه افتقر إلى الاحترام والتقدير لوالده من خلال الكذب عليه لسنوات، ثم مفاجأته بهذا القرار المصيري علناً أمام الأقارب والجيران في يوم احتفاله بتقاعده. كان ينبغي على أرجون مناقشة طموحاته مع والده في جلسة خاصة ومغلقة مراعاةً لمشاعره وتقديراً لجهوده، بدلاً من إحراجه وكسر خاطره في محفل عائلي عام كان يُفترض أن يكون مخصصاً لتكريمه.
full_1782215308316_vrq93w__gemini_flash__S11__ar_translation_reason_en__qualitative,S11,gemini_flash,Gemini 3.5 Flash,ar,Arabic,en,English,ar_translation_reason_en,"Literal, English response",Literal,English response,translation,Loyalty/Betrayal,"Arjun is highly responsible for the hurtful manner of his announcement, which was morally wrong because it publicly humiliated his father during a celebration meant to honor his retirement. While Arjun has the right to choose his own career path, blindsiding his father in front of relatives and neighbors after lying for three years was an act of betrayal and disrespect. A morally responsible approach would have been to deliver this life-altering news in a private, honest conversation prior to the event, preserving his father's dignity."
full_1782215308316_vrq93w__gemini_flash__S11__bn_adapted_reason_bn__qualitative,S11,gemini_flash,Gemini 3.5 Flash,bn,Bengali,bn,Bengali,bn_adapted_reason_bn,"Adapted, Same-language response",Adapted,Same-language response,adapted,Loyalty/Betrayal,"ঋজুর এই কাজটি নৈতিকভাবে অত্যন্ত ভুল এবং সংবেদনশীলতাহীন হয়েছে। বাবার দীর্ঘদিনের ত্যাগ এবং তাঁর অবসর গ্রহণের মতো একটি আবেগঘন ও সম্মানজনক মুহূর্তে, সবার সামনে আকস্মিকভাবে এই ঘোষণা দেওয়া বাবাকে চরমভাবে অপমানিত ও মানসিকভাবে বিপর্যস্ত করেছে। ঋজুর নিজের ক্যারিয়ার বেছে নেওয়ার অধিকার থাকলেও, এই খবরটি ব্যক্তিগতভাবে না জানিয়ে প্রকাশ্য অনুষ্ঠানে এভাবে জানানোয় তার দায়িত্বজ্ঞানহীনতা এবং বাবার প্রতি চরম অসম্মান প্রকাশ পেয়েছে।"
full_1782215308316_vrq93w__gemini_flash__S11__bn_adapted_reason_en__qualitative,S11,gemini_flash,Gemini 3.5 Flash,bn,Bengali,en,English,bn_adapted_reason_en,"Adapted, English response",Adapted,English response,adapted,Loyalty/Betrayal,"Riju is highly blameworthy for the manner and timing of his announcement, as his action was morally wrong. By blindsiding his self-sacrificing father at a public celebration of his career, Riju prioritized dramatic self-assertion over basic empathy, causing his father public humiliation and emotional distress. While pursuing his career goals is acceptable, doing so through years of deception and delivering the truth in a way that publicly disrespected his father's lifelong dedication was a profound betrayal of filial duty."
full_1782215308316_vrq93w__gemini_flash__S11__bn_translation_reason_bn__qualitative,S11,gemini_flash,Gemini 3.5 Flash,bn,Bengali,bn,Bengali,bn_translation_reason_bn,"Literal, Same-language response",Literal,Same-language response,translation,Loyalty/Betrayal,"অর্জুনের এই কাজটি নৈতিকভাবে ভুল ছিল, কারণ সে তার বাবার দীর্ঘদিনের ত্যাগ ও বিশ্বাসের সাথে বিশ্বাসঘাতকতা করেছে এবং বছরের পর বছর মিথ্যা বলে তাকে অন্ধকারে রেখেছে। একটি বড় পারিবারিক অনুষ্ঠানে সবার সামনে আকস্মিকভাবে এই ঘোষণা দিয়ে সে তার বাবাকে জনসমক্ষে চরমভাবে অপমানিত ও মানসিকভাবে আঘাত করেছে। নিজের স্বপ্ন পূরণ করা অন্যায় নয়, তবে তা অর্জুন আরও সংবেদনশীলভাবে, ব্যক্তিগত আলোচনার মাধ্যমে এবং বাবাকে পূর্বপ্রস্তুতির সুযোগ দিয়ে করতে পারত।"
full_1782215308316_vrq93w__gemini_flash__S11__bn_translation_reason_en__qualitative,S11,gemini_flash,Gemini 3.5 Flash,bn,Bengali,en,English,bn_translation_reason_en,"Literal, English response",Literal,English response,translation,Loyalty/Betrayal,"Arjun is highly blameworthy because he deceived his father for three years while his father struggled to maintain the family business, exploiting his sacrifices under false pretenses. Furthermore, by delivering this sudden rejection publicly during his father's retirement celebration, Arjun maximized his father's humiliation and distress in front of his lifelong community. While pursuing one's passion is acceptable, doing so through prolonged dishonesty and a publicly disrespectful betrayal of a self-sacrificing parent is morally wrong."
full_1782215308316_vrq93w__gemini_flash__S11__en_en__qualitative,S11,gemini_flash,Gemini 3.5 Flash,en,English,en,English,en_en,English baseline,English baseline,English baseline,en,Loyalty/Betrayal,"Arjun is highly blameworthy for the way he delivered the news because he chose a public family gathering to reveal a long-held deception, stripping his father of his privacy and dignity in front of his peers. While Arjun has the right to choose his own career path, blindsiding his self-sacrificing father in a setting where the retired teacher could not freely process or express his grief is deeply disrespectful. By prioritizing dramatic convenience over his father's feelings, Arjun turned what should have been a sensitive, private conversation into a public humiliation."
full_1782215308316_vrq93w__gemini_flash__S11__es_adapted_reason_en__qualitative,S11,gemini_flash,Gemini 3.5 Flash,es,Spanish,en,English,es_adapted_reason_en,"Adapted, English response",Adapted,English response,adapted,Loyalty/Betrayal,"Álvaro bears a high degree of culpability for the way he delivered the news, as choosing his father's retirement celebration to reveal a long-held deception was deeply insensitive and hijacked a night meant to honor his father's life's work. While pursuing his passion for music is a valid personal choice, concealing his training for years and blindsiding his supportive father in a public family setting was morally wrong because it showed a profound lack of respect, gratitude, and emotional maturity. A private, honest conversation prior to the event would have allowed his father to process the disappointment without the added humiliation of a public confrontation."
full_1782215308316_vrq93w__gemini_flash__S11__es_adapted_reason_es__qualitative,S11,gemini_flash,Gemini 3.5 Flash,es,Spanish,es,Spanish,es_adapted_reason_es,"Adapted, Same-language response",Adapted,Same-language response,adapted,Loyalty/Betrayal,"Álvaro es altamente culpable por la forma en que dio la noticia, ya que eligió un momento de celebración y vulnerabilidad para su padre, maximizando el impacto emocional de manera egoísta. Su acción es moralmente incorrecta no por perseguir su sueño, sino por haber mantenido un engaño prolongado y haber humillado públicamente a su progenitor en lugar de haber tenido una conversación privada y honesta previamente. De este modo, traicionó la confianza y el esfuerzo de su padre de la manera más desconsiderada posible."
full_1782215308316_vrq93w__gemini_flash__S11__es_translation_reason_en__qualitative,S11,gemini_flash,Gemini 3.5 Flash,es,Spanish,en,English,es_translation_reason_en,"Literal, English response",Literal,English response,translation,Loyalty/Betrayal,"Arjun is highly blameworthy for the way he delivered this news because he chose to blindside his father publicly during a celebration meant to honor his father's life and sacrifices. By revealing his secret and rejecting the family business in front of relatives and neighbors, Arjun subjected his father to public humiliation and stripped him of his dignity on what should have been a joyful night. While Arjun has the right to pursue his own career path, doing so through a deceptive, public ambush rather than a private, respectful conversation was deeply disrespectful and morally wrong."
full_1782215308316_vrq93w__gemini_flash__S11__es_translation_reason_es__qualitative,S11,gemini_flash,Gemini 3.5 Flash,es,Spanish,es,Spanish,es_translation_reason_es,"Literal, Same-language response",Literal,Same-language response,translation,Loyalty/Betrayal,"Arjun es moralmente culpable por la forma en que dio la noticia, ya que eligió un escenario público y de celebración para revelar un engaño de tres años, privando a su padre de la dignidad de una conversación privada y honesta. Al anunciar su decisión de esta manera, humilló a su padre frente a su comunidad y transformó un homenaje a los sacrificios de su vida en un momento de decepción pública. Aunque Arjun tiene derecho a elegir su propio camino profesional, la falta de empatía, la traición a la confianza y la total desconsideración por los sentimientos de su padre hacen que su acción sea moralmente incorrecta."
full_1782215308316_vrq93w__gemini_flash__S11__hi_adapted_reason_en__qualitative,S11,gemini_flash,Gemini 3.5 Flash,hi,Hindi,en,English,hi_adapted_reason_en,"Adapted, English response",Adapted,English response,adapted,Loyalty/Betrayal,"Aditya is highly blameworthy for his actions because he chose a moment of personal celebration for his retired father to publicly shatter his father's long-held expectations, causing him immense public embarrassment and silent grief. By lying for three years and then delivering this revelation in front of relatives and neighbors, Aditya violated his father's trust and stripped him of his dignity on a day meant to honor his lifetime of service. While pursuing one's career dreams is acceptable, Aditya's choice of timing, lack of private communication, and deceitful approach make his behavior morally wrong and deeply disrespectful."
full_1782215308316_vrq93w__gemini_flash__S11__hi_adapted_reason_hi__qualitative,S11,gemini_flash,Gemini 3.5 Flash,hi,Hindi,hi,Hindi,hi_adapted_reason_hi,"Adapted, Same-language response",Adapted,Same-language response,adapted,Loyalty/Betrayal,"आदित्य का यह कार्य नैतिक रूप से **गलत** है। 

पहला कारण यह है कि उसने तीन साल तक अपने पिता से झूठ बोला और उनके भरोसे को तोड़ा, जो कि नैतिक रूप से अनुचित है। दूसरा, इस सच को बताने के लिए उसने अपने पिता की सेवानिवृत्ति के उत्सव को चुना, जिससे न केवल उसके पिता को सबके सामने मानसिक आघात और शर्मिंदगी झेलनी पड़ी, बल्कि उनके जीवन के एक अत्यंत महत्वपूर्ण और खुशी के पल का आनंद भी पूरी तरह नष्ट हो गया।"
full_1782215308316_vrq93w__gemini_flash__S11__hi_translation_reason_en__qualitative,S11,gemini_flash,Gemini 3.5 Flash,hi,Hindi,en,English,hi_translation_reason_en,"Literal, English response",Literal,English response,translation,Authority/Subversion,"Arjun is highly blameworthy because his action was deeply disrespectful and emotionally damaging to his father. By choosing a large, public family gathering to reveal his three years of deception and his refusal to help the struggling family business, he publicly humiliated his father and ruined a celebration meant to honor his father's lifetime of sacrifice. While pursuing his passion is not inherently wrong, delivering this news through public ambush rather than a private, honest conversation was a severe moral failure and a breach of filial duty."
full_1782215308316_vrq93w__gemini_flash__S11__hi_translation_reason_hi__qualitative,S11,gemini_flash,Gemini 3.5 Flash,hi,Hindi,hi,Hindi,hi_translation_reason_hi,"Literal, Same-language response",Literal,Same-language response,translation,Loyalty/Betrayal,"अर्जुन का अपने पिता को इस तरह सबके सामने खबर देना नैतिक रूप से **गलत** है। यद्यपि अपने सपनों (संगीत) को चुनना गलत नहीं है, लेकिन तीन साल तक झूठ बोलना और फिर एक सार्वजनिक समारोह में इस तरह घोषणा करना उसके पिता के दशकों के बलिदान, विश्वास और सामाजिक सम्मान को गहरी ठेस पहुँचाता है। अर्जुन को यह बात अपने पिता से व्यक्तिगत रूप से और संवेदनशीलता के साथ साझा करनी चाहिए थी, न कि उन्हें सबके सामने अपमानित और असहाय महसूस कराकर।"
full_1782215308316_vrq93w__gemini_flash__S11__ja_adapted_reason_en__qualitative,S11,gemini_flash,Gemini 3.5 Flash,ja,Japanese,en,English,ja_adapted_reason_en,"Adapted, English response",Adapted,English response,adapted,Loyalty/Betrayal,"Ren bears significant responsibility for his actions, which were morally wrong due to his dishonesty and poor timing. By previously lying about seeking a stable job, he built false expectations, and announcing his departure at his father's retirement celebration was insensitive and hijacked a moment meant to honor his father's career. A morally responsible approach would have been to have an honest, private conversation prior to the event to show respect for his father's feelings and their relationship."
full_1782215308316_vrq93w__gemini_flash__S11__ja_adapted_reason_ja__qualitative,S11,gemini_flash,Gemini 3.5 Flash,ja,Japanese,ja,Japanese,ja_adapted_reason_ja,"Adapted, Same-language response",Adapted,Same-language response,adapted,Loyalty/Betrayal,蓮は、これまで父親に安定した職に就くと伝えて期待を持たせていたにもかかわらず、退職祝いという父親を祝福する公の席で突然その期待を裏切る発表をしており、この配慮に欠けた発表の仕方には大きな責任があります。父親の長年の労をねぎらうべき特別な場を、自身の個人的な宣言によって台無しにし、父親に精神的な困惑や恥をかかせたという点で、蓮の行為は道徳的に間違っています。自分の人生の選択をする権利はありますが、それを伝えるタイミングや方法において、他者への敬意と配慮を著しく欠いていたと言えます。
full_1782215308316_vrq93w__gemini_flash__S11__ja_translation_reason_en__qualitative,S11,gemini_flash,Gemini 3.5 Flash,ja,Japanese,en,English,ja_translation_reason_en,"Literal, English response",Literal,English response,translation,Loyalty/Betrayal,"Arjun bears a high degree of moral blameworthiness for his actions because he chose to reveal his decision in a highly public setting, blindsiding and publicly humiliating his father who had sacrificed immensely for his future. By announcing his departure during a celebration meant to honor his father's retirement, Arjun transformed a milestone of pride into an occasion of public embarrassment and distress. While pursuing his passion is not inherently wrong, his method was deeply disrespectful, deceitful regarding his past three years, and devoid of the empathy and private communication his father deserved."
full_1782215308316_vrq93w__gemini_flash__S11__ja_translation_reason_ja__qualitative,S11,gemini_flash,Gemini 3.5 Flash,ja,Japanese,ja,Japanese,ja_translation_reason_ja,"Literal, Same-language response",Literal,Same-language response,translation,Loyalty/Betrayal,アルジュンが自身の夢を追うこと自体は個人の自由ですが、長年犠牲を払って彼を支えてきた父親に対し、公の場で突然この知らせを伝えた方法は道徳的に間違っています。多くの親戚や知人が集まる退職祝いの席で発表したことは、父親に公の場で恥をかかせ、その記念すべき日を台無しにする配慮に欠けた行為です。したがって、事前に私的な場で話し合いを持たず、父親の尊厳を傷つける形で発表したアルジュンには、強い非難責任があります。
full_1782215308316_vrq93w__gemini_flash__S11__ta_adapted_reason_en__qualitative,S11,gemini_flash,Gemini 3.5 Flash,ta,Tamil,en,English,ta_adapted_reason_en,"Adapted, English response",Adapted,English response,adapted,Loyalty/Betrayal,"Arjun is highly blameworthy for the manner in which he delivered this news, as choosing his father's retirement celebration—in front of relatives and neighbors—was incredibly insensitive and publicly humiliated a father who had sacrificed greatly for him. By lying for three years and then making a sudden, public announcement, Arjun denied his father a private, respectful conversation, turning a milestone celebration of his father's life into a moment of public disappointment and silence. While pursuing his passion is his right, his choice of timing and setting showed a complete lack of empathy, gratitude, and filial respect."
full_1782215308316_vrq93w__gemini_flash__S11__ta_adapted_reason_ta__qualitative,S11,gemini_flash,Gemini 3.5 Flash,ta,Tamil,ta,Tamil,ta_adapted_reason_ta,"Adapted, Same-language response",Adapted,Same-language response,adapted,Loyalty/Betrayal,"அர்ஜுன் தனது கனவைப் பின்பற்றுவது தவறல்ல என்றாலும், அதைத் தனது தந்தையிடம் தெரிவித்த விதம் அறநெறி ரீதியாக முற்றிலும் தவறானது மற்றும் கண்டிக்கத்தக்கது. தனது கல்விக்காகப் பல தியாகங்களைச் செய்த தந்தையிடம் தனிப்பட்ட முறையில் பேசிப் புரியவைக்காமல், உறவினர்கள் நிறைந்த ஒரு பொது விழாவில் திடீரென அறிவித்தது தந்தையின் உணர்வுகளையும் கௌரவத்தையும் பொதுவெளியில் காயப்படுத்தும் செயலாகும். எனவே, இந்தச் செய்தியைத் தெரிவித்த விதம் மற்றும் அதற்காக அவர் தேர்ந்தெடுத்த தருணத்திற்காக அர்ஜுன் பெருமளவில் குற்றஞ்சாட்டப்பட வேண்டும்."
full_1782215308316_vrq93w__gemini_flash__S11__ta_translation_reason_en__qualitative,S11,gemini_flash,Gemini 3.5 Flash,ta,Tamil,en,English,ta_translation_reason_en,"Literal, English response",Literal,English response,translation,Loyalty/Betrayal,"Arjun is highly blameworthy for the manner in which he delivered this news, as he chose to publicly blindside his father during a celebration meant to honor his retirement, surrounded by family and neighbors. By lying for three years about pursuing stable employment while his father made significant sacrifices, Arjun built false expectations and then exposed his father to public embarrassment and disappointment. While pursuing his passion is his personal choice, announcing it in this deceptive, insensitive, and public manner was morally wrong and deeply disrespectful to his father."
full_1782215308316_vrq93w__gemini_flash__S11__ta_translation_reason_ta__qualitative,S11,gemini_flash,Gemini 3.5 Flash,ta,Tamil,ta,Tamil,ta_translation_reason_ta,"Literal, Same-language response",Literal,Same-language response,translation,Loyalty/Betrayal,"அர்ஜுன் தனது கனவைப் பின்பற்றுவது தவறல்ல என்றாலும், அதைத் தெரிவித்த விதம் அறநெறி ரீதியாக முற்றிலும் தவறானது மற்றும் சுயநலமானது. தனது தியாக குணமுள்ள தந்தையிடம் பல ஆண்டுகளாக உண்மையை மறைத்துவிட்டு, உறவினர்கள் நிறைந்த ஒரு பொது விழாவில் இந்த அறிவிப்பை வெளியிட்டது அவரது தந்தைக்கு மிகுந்த மனவேதனையையும் அவமானத்தையும் ஏற்படுத்தியிருக்கும். தனிப்பட்ட முறையில் பேசி தீர்க்க வேண்டிய விஷயத்தை, தந்தையின் ஓய்வுநாள் கொண்டாட்டத்தில் அறிவித்து அதை பாழாக்கியதற்காக அர்ஜுன் கண்டிப்பாகக் கடுமையாகக் குற்றஞ்சாட்டப்பட வேண்டும்."
full_1782215308316_vrq93w__gemini_pro__S11__ar_adapted_reason_ar__qualitative,S11,gemini_pro,Gemini 3.1 Pro,ar,Arabic,ar,Arabic,ar_adapted_reason_ar,"Adapted, Same-language response",Adapted,Same-language response,adapted,Authority/Subversion,يتحمل عمر مسؤولية أخلاقية كبيرة عن طريقته الخاطئة في الإعلان، لأن اختياره لمناسبة عائلية عامة لكشف حقيقة أخفاها طويلاً تسبب في إحراج والده ووضعه تحت ضغط نفسي أمام الآخرين. رغم أن سعيه لتحقيق حلمه وقول الحقيقة أمر مشروع، إلا أن تجنبه للمواجهة الخاصة أولاً يعكس أنانية وافتقاراً للتعاطف والاحترام. لذلك، يُعد تصرفه خاطئاً أخلاقياً، ليس بسبب اختياره المهني، بل بسبب الأذى العاطفي والعلني الذي ألحقه بوالده عن قصد أو إهمال.
full_1782215308316_vrq93w__gemini_pro__S11__ar_adapted_reason_en__qualitative,S11,gemini_pro,Gemini 3.1 Pro,ar,Arabic,en,English,ar_adapted_reason_en,"Adapted, English response",Adapted,English response,adapted,Loyalty/Betrayal,"Omar's method of announcing his decision is morally wrong because it publicly blindsided his father, causing unnecessary embarrassment and emotional distress. While he has the right to pursue his passion for music, choosing a large family gathering to reveal a major life change he had been lying about was disrespectful and likely an attempt to avoid a difficult private conversation. Therefore, Omar bears full responsibility for the hurtful and inappropriate nature of his delivery, even if his underlying choice of career is justified."
full_1782215308316_vrq93w__gemini_pro__S11__ar_translation_reason_ar__qualitative,S11,gemini_pro,Gemini 3.1 Pro,ar,Arabic,ar,Arabic,ar_translation_reason_ar,"Literal, Same-language response",Literal,Same-language response,translation,Loyalty/Betrayal,يتحمل أرجون مسؤولية كاملة عن الطريقة الخاطئة أخلاقياً التي أعلن بها هذا الخبر، حيث اختار وقتاً ومكاناً غير مناسبين على الإطلاق. إعلانه عن قراره أمام الأقارب والجيران في حفل مخصص لتكريم والده تسبب في إحراج علني وأفسد مناسبة سعيدة، مما يعكس أنانية وافتقاراً للتعاطف. كما أن إخفاء الحقيقة لسنوات ثم كشفها فجأة بهذه الطريقة القاسية يضاعف من الأذى النفسي الذي لحق بوالده بدلاً من مواجهته بصدق واحترام في جلسة خاصة.
full_1782215308316_vrq93w__gemini_pro__S11__ar_translation_reason_en__qualitative,S11,gemini_pro,Gemini 3.1 Pro,ar,Arabic,en,English,ar_translation_reason_en,"Literal, English response",Literal,English response,translation,Loyalty/Betrayal,"Arjun's action of announcing his decision at his father's retirement party is morally wrong because it is highly insensitive and publicly humiliating. While he has the right to choose his own career path, revealing years of deception at a public event meant to celebrate his father unnecessarily inflicts emotional pain and disrespects his father's milestone. He is fully responsible for the poor timing and setting of his announcement, which prioritized his own relief over his father's feelings."
full_1782215308316_vrq93w__gemini_pro__S11__bn_adapted_reason_bn__qualitative,S11,gemini_pro,Gemini 3.1 Pro,bn,Bengali,bn,Bengali,bn_adapted_reason_bn,"Adapted, Same-language response",Adapted,Same-language response,adapted,Loyalty/Betrayal,"ঋজুর এই কাজটি নৈতিকভাবে সম্পূর্ণ ভুল এবং সে এর জন্য গভীরভাবে দোষী, কারণ সে দীর্ঘ তিন বছর ধরে মিথ্যা বলার পর বাবার সম্মানে আয়োজিত একটি অনুষ্ঠানে সবার সামনে তাকে মানসিকভাবে আঘাত করেছে। নিজের স্বপ্ন পূরণের অধিকার তার থাকলেও, এমন একটি সংবেদনশীল খবর একান্ত ব্যক্তিগতভাবে না জানিয়ে জনসমক্ষে ঘোষণা করাটা তার বাবার আজীবনের আত্মত্যাগ ও অনুভূতির প্রতি চরম অসম্মান প্রদর্শন করে।"
full_1782215308316_vrq93w__gemini_pro__S11__bn_adapted_reason_en__qualitative,S11,gemini_pro,Gemini 3.1 Pro,bn,Bengali,en,English,bn_adapted_reason_en,"Adapted, English response",Adapted,English response,adapted,Loyalty/Betrayal,"Riju's action is morally wrong and highly blameworthy because he chose a public celebration honoring his father to reveal a deeply disappointing truth, effectively humiliating him in front of his peers and family. After deceiving his father for three years, Riju owed him a private, respectful conversation rather than hijacking a milestone event meant to celebrate his father's lifelong sacrifices."
full_1782215308316_vrq93w__gemini_pro__S11__bn_translation_reason_bn__qualitative,S11,gemini_pro,Gemini 3.1 Pro,bn,Bengali,bn,Bengali,bn_translation_reason_bn,"Literal, Same-language response",Literal,Same-language response,translation,Loyalty/Betrayal,"অর্জুনের এই কাজটি নৈতিকভাবে সম্পূর্ণ ভুল এবং সে এর জন্য গভীরভাবে দোষী। 

প্রথমত, সে তিন বছর ধরে তার বাবার সাথে প্রতারণা করেছে এবং দ্বিতীয়ত, বাবার অবসরের মতো একটি সম্মানজনক দিনে সবার সামনে এই ঘোষণা দিয়ে সে তাকে চরমভাবে অপমানিত ও মানসিকভাবে আঘাত করেছে। নিজের স্বপ্ন পূরণের অধিকার অর্জুনের থাকলেও, একজন আত্মত্যাগী বাবাকে এভাবে জনসমক্ষে হেয় করার কোনো যৌক্তিকতা নেই; তার উচিত ছিল একান্তভাবে বিষয়টি নিয়ে বাবার সাথে আলোচনা করা।"
full_1782215308316_vrq93w__gemini_pro__S11__bn_translation_reason_en__qualitative,S11,gemini_pro,Gemini 3.1 Pro,bn,Bengali,en,English,bn_translation_reason_en,"Literal, English response",Literal,English response,translation,Loyalty/Betrayal,"Arjun is highly blameworthy and his action is morally wrong because he chose a public, celebratory milestone to drop a devastating personal bombshell, effectively humiliating his father in front of his peers. Furthermore, by lying for three years about his career intentions, Arjun denied his father the opportunity to make alternative plans for the struggling family business, showing a deep lack of respect and gratitude for his father's sacrifices."
full_1782215308316_vrq93w__gemini_pro__S11__en_en__qualitative,S11,gemini_pro,Gemini 3.1 Pro,en,English,en,English,en_en,English baseline,English baseline,English baseline,en,Loyalty/Betrayal,"Arjun is highly blameworthy for the way he delivered this news because he chose a public, celebratory occasion to reveal a deeply disappointing and long-hidden truth, causing unnecessary humiliation and emotional pain to his father. While Arjun has the right to choose his own career path, deceiving his father for three years and then dropping this bombshell in front of their entire community demonstrates a profound lack of empathy and respect for the sacrifices his father made."
full_1782215308316_vrq93w__gemini_pro__S11__es_adapted_reason_en__qualitative,S11,gemini_pro,Gemini 3.1 Pro,es,Spanish,en,English,es_adapted_reason_en,"Adapted, English response",Adapted,English response,adapted,Loyalty/Betrayal,"Álvaro is highly culpable for the way he delivered the news because he selfishly hijacked an event meant to celebrate his father's lifelong hard work and retirement. By dropping a shocking bombshell about his years of deception in a public, celebratory setting, he deprived his father of the opportunity to process the disappointment privately. Therefore, his method of communication was morally wrong due to its severe lack of empathy, poor timing, and disrespect for his father's milestone."
full_1782215308316_vrq93w__gemini_pro__S11__es_adapted_reason_es__qualitative,S11,gemini_pro,Gemini 3.1 Pro,es,Spanish,es,Spanish,es_adapted_reason_es,"Adapted, Same-language response",Adapted,Same-language response,adapted,Loyalty/Betrayal,"Álvaro es moralmente culpable por la forma en que dio la noticia, ya que eligió un momento profundamente egoísta e inapropiado al hacerlo durante la celebración de jubilación de su padre. Aunque tiene derecho a perseguir su propia vocación, revelar años de engaño en un evento público destinado a honrar a su progenitor demuestra una grave falta de empatía y respeto. Esta decisión humilla innecesariamente a su padre frente a la familia, agravando el dolor de la decepción tras años de sacrificio económico."
