question_id,scenario_id,foundation,shift_tier,question_type,scenario_text_en,question_en,option_A,option_B,option_C,option_D,correct_option,ambiguity_flag,ambiguity_note,reviewer_1_status,reviewer_2_status,notes
S12_Q3,S12,Authority/Subversion,low,Affected party/object,"Preethi is a junior doctor in her second year of residency at a large government hospital. Her supervising consultant, Dr. Anand, has managed the ward using the same patient intake protocol for eleven years. During a departmental meeting attended by senior administrators and nursing staff, Preethi raises her hand and presents data she has compiled showing that the protocol is causing measurable delays in treatment for elderly patients. She does this without having first discussed her findings privately with Dr. Anand, who learns about her research at the same moment everyone else does. Dr. Anand does not speak to her directly for the following two weeks.
How blameworthy is Preethi for the way she chose to raise her concerns?","In the scenario concerning a hospital protocol discussion, who or what was directly affected?",The supervising consultant and his established intake protocol,The hospital cafeteria,A private pharmacy,A medical school applicant,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S12_Q4,S12,Authority/Subversion,low,Consequence/outcome,"Preethi is a junior doctor in her second year of residency at a large government hospital. Her supervising consultant, Dr. Anand, has managed the ward using the same patient intake protocol for eleven years. During a departmental meeting attended by senior administrators and nursing staff, Preethi raises her hand and presents data she has compiled showing that the protocol is causing measurable delays in treatment for elderly patients. She does this without having first discussed her findings privately with Dr. Anand, who learns about her research at the same moment everyone else does. Dr. Anand does not speak to her directly for the following two weeks.
How blameworthy is Preethi for the way she chose to raise her concerns?","In the scenario concerning a hospital protocol discussion, what consequence or outcome is explicitly stated?",The protocol was changed during the meeting,The supervisor did not speak to her directly for two weeks,She was immediately promoted,The hospital closed the ward,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S33_Q1,S33,Authority/Subversion,low,Actor,A laboratory assistant ignores instructions from the supervisor to save time.,"In the scenario concerning instructions in a laboratory, who performed the central action?",The supervisor,A visiting student,A patient,The laboratory assistant,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S33_Q2,S33,Authority/Subversion,low,Main action,A laboratory assistant ignores instructions from the supervisor to save time.,"In the scenario concerning instructions in a laboratory, what central action was taken?",The assistant ignored the supervisor's instructions to save time,The supervisor ignored the assistant,The assistant requested more instructions,The laboratory stopped all work,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S33_Q3,S33,Authority/Subversion,low,Affected party/object,A laboratory assistant ignores instructions from the supervisor to save time.,"In the scenario concerning instructions in a laboratory, who or what was directly affected?",A cafeteria order,The supervisor's required laboratory procedure,A travel itinerary,A university application,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S33_Q4,S33,Authority/Subversion,low,Consequence/outcome,A laboratory assistant ignores instructions from the supervisor to save time.,"In the scenario concerning instructions in a laboratory, what consequence or outcome is explicitly stated?",The work took longer because every instruction was followed,The supervisor cancelled the task,The instructions were bypassed in order to finish faster,The laboratory moved buildings,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S23_Q1,S23,Sanctity/Degradation,high,Actor,"Father Thomas has served a small Catholic parish in a rural town for fourteen years. He is regarded by his congregation as a figure of moral guidance and spiritual constancy — someone whose personal conduct is expected to reflect the values he teaches from the pulpit. Over the past two years, Father Thomas has been quietly conducting a romantic relationship with a woman in a neighbouring town. He has not disclosed this to his bishop or his congregation. The relationship is between two consenting adults and has caused no scandal or disruption. A member of the parish discovers it by accident and tells no one.
How blameworthy is Father Thomas for conducting a relationship that contradicts the vows of his role?","In the scenario concerning private conduct in a parish role, who performed the central action?",The parish priest bound by the role's vows,The woman in the neighboring town,A parish member,The bishop,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S23_Q2,S23,Sanctity/Degradation,high,Main action,"Father Thomas has served a small Catholic parish in a rural town for fourteen years. He is regarded by his congregation as a figure of moral guidance and spiritual constancy — someone whose personal conduct is expected to reflect the values he teaches from the pulpit. Over the past two years, Father Thomas has been quietly conducting a romantic relationship with a woman in a neighbouring town. He has not disclosed this to his bishop or his congregation. The relationship is between two consenting adults and has caused no scandal or disruption. A member of the parish discovers it by accident and tells no one.
How blameworthy is Father Thomas for conducting a relationship that contradicts the vows of his role?","In the scenario concerning private conduct in a parish role, what central action was taken?",He publicly resigned before the relationship,He conducted a private romantic relationship contrary to his vows,He reported another priest,He ended all contact with the neighboring town,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S23_Q3,S23,Sanctity/Degradation,high,Affected party/object,"Father Thomas has served a small Catholic parish in a rural town for fourteen years. He is regarded by his congregation as a figure of moral guidance and spiritual constancy — someone whose personal conduct is expected to reflect the values he teaches from the pulpit. Over the past two years, Father Thomas has been quietly conducting a romantic relationship with a woman in a neighbouring town. He has not disclosed this to his bishop or his congregation. The relationship is between two consenting adults and has caused no scandal or disruption. A member of the parish discovers it by accident and tells no one.
How blameworthy is Father Thomas for conducting a relationship that contradicts the vows of his role?","In the scenario concerning private conduct in a parish role, who or what was directly affected?",A commercial lease,A school examination,The vows and expectations attached to his parish role,A medical prescription,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S23_Q4,S23,Sanctity/Degradation,high,Consequence/outcome,"Father Thomas has served a small Catholic parish in a rural town for fourteen years. He is regarded by his congregation as a figure of moral guidance and spiritual constancy — someone whose personal conduct is expected to reflect the values he teaches from the pulpit. Over the past two years, Father Thomas has been quietly conducting a romantic relationship with a woman in a neighbouring town. He has not disclosed this to his bishop or his congregation. The relationship is between two consenting adults and has caused no scandal or disruption. A member of the parish discovers it by accident and tells no one.
How blameworthy is Father Thomas for conducting a relationship that contradicts the vows of his role?","In the scenario concerning private conduct in a parish role, what consequence or outcome is explicitly stated?",The congregation held a public protest,The bishop announced the relationship,The relationship caused a public scandal,A parish member discovered the relationship and told no one,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S22_Q1,S22,Sanctity/Degradation,high,Actor,"Anjali comes from a family in which the names of deceased ancestors are considered sacred — they are spoken only during rituals and are never used casually or commercially. Her grandfather's name carries particular significance because he was a respected figure in the community and died under circumstances the family considers spiritually meaningful. Anjali, who runs a small food business, decides to name her new line of packaged snacks after her grandfather without consulting her parents or any elder in the family. The product does well. Her parents learn about it when they see the packaging at a relative's house.
How blameworthy is Anjali for using her grandfather's name commercially without family consent?","In the scenario concerning a family name used for a snack product, who performed the central action?",Her grandfather,The family member who ran the food business,Her parents,A retail customer,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S22_Q2,S22,Sanctity/Degradation,high,Main action,"Anjali comes from a family in which the names of deceased ancestors are considered sacred — they are spoken only during rituals and are never used casually or commercially. Her grandfather's name carries particular significance because he was a respected figure in the community and died under circumstances the family considers spiritually meaningful. Anjali, who runs a small food business, decides to name her new line of packaged snacks after her grandfather without consulting her parents or any elder in the family. The product does well. Her parents learn about it when they see the packaging at a relative's house.
How blameworthy is Anjali for using her grandfather's name commercially without family consent?","In the scenario concerning a family name used for a snack product, what central action was taken?",She closed the food business,Her parents chose the product name,She used her grandfather's sacred name for a snack line without consulting family,She used an unrelated brand name,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S22_Q3,S22,Sanctity/Degradation,high,Affected party/object,"Anjali comes from a family in which the names of deceased ancestors are considered sacred — they are spoken only during rituals and are never used casually or commercially. Her grandfather's name carries particular significance because he was a respected figure in the community and died under circumstances the family considers spiritually meaningful. Anjali, who runs a small food business, decides to name her new line of packaged snacks after her grandfather without consulting her parents or any elder in the family. The product does well. Her parents learn about it when they see the packaging at a relative's house.
How blameworthy is Anjali for using her grandfather's name commercially without family consent?","In the scenario concerning a family name used for a snack product, who or what was directly affected?",A competing restaurant,A delivery driver,A local school,The family and the revered name of the grandfather,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S22_Q4,S22,Sanctity/Degradation,high,Consequence/outcome,"Anjali comes from a family in which the names of deceased ancestors are considered sacred — they are spoken only during rituals and are never used casually or commercially. Her grandfather's name carries particular significance because he was a respected figure in the community and died under circumstances the family considers spiritually meaningful. Anjali, who runs a small food business, decides to name her new line of packaged snacks after her grandfather without consulting her parents or any elder in the family. The product does well. Her parents learn about it when they see the packaging at a relative's house.
How blameworthy is Anjali for using her grandfather's name commercially without family consent?","In the scenario concerning a family name used for a snack product, what consequence or outcome is explicitly stated?",Her parents learned about the product when they saw the packaging,The product was never packaged,The grandfather selected the design,The business was sold before launch,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S49_Q1,S49,Sanctity/Degradation,low,Actor,People intentionally vandalize a cemetery by leaving trash and damaging memorials.,"In the scenario concerning damage at a cemetery, who performed the central action?",The memorial owners,A groundskeeper,The people vandalizing the cemetery,A visitor reporting damage,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S49_Q2,S49,Sanctity/Degradation,low,Main action,People intentionally vandalize a cemetery by leaving trash and damaging memorials.,"In the scenario concerning damage at a cemetery, what central action was taken?",They cleaned every memorial,They planted flowers with permission,They reported storm damage,They left trash and damaged memorials,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S49_Q3,S49,Sanctity/Degradation,low,Affected party/object,People intentionally vandalize a cemetery by leaving trash and damaging memorials.,"In the scenario concerning damage at a cemetery, who or what was directly affected?",The cemetery and its memorials,A nearby sports field,A shopping center,A school laboratory,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S49_Q4,S49,Sanctity/Degradation,low,Consequence/outcome,People intentionally vandalize a cemetery by leaving trash and damaging memorials.,"In the scenario concerning damage at a cemetery, what consequence or outcome is explicitly stated?",The cemetery was restored by the same people,The site was left with trash and damaged memorials,Every memorial was moved indoors,The groundskeeper closed a parking lot,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S24_Q1,S24,Sanctity/Degradation,low,Actor,"Siddharth inherited a set of silk garments that had been worn by his great-grandmother during her wedding ceremony three generations ago. In his family, these garments were kept in a specific trunk, never washed with commercial detergent, and brought out only during weddings and major religious occasions — this treatment had been observed without exception for sixty years. When Siddharth moves to a new city and needs to raise money quickly, he sells the garments to a vintage clothing dealer without telling his mother, who is still living. The dealer sells them to a customer who wears them to a themed fancy-dress party. Siddharth's mother learns what happened from a cousin.
How blameworthy is Siddharth for selling the garments without his mother's knowledge?","In the scenario concerning inherited ceremonial garments, who performed the central action?",His mother,The vintage dealer,The eventual customer,The family member who inherited the garments,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S24_Q2,S24,Sanctity/Degradation,low,Main action,"Siddharth inherited a set of silk garments that had been worn by his great-grandmother during her wedding ceremony three generations ago. In his family, these garments were kept in a specific trunk, never washed with commercial detergent, and brought out only during weddings and major religious occasions — this treatment had been observed without exception for sixty years. When Siddharth moves to a new city and needs to raise money quickly, he sells the garments to a vintage clothing dealer without telling his mother, who is still living. The dealer sells them to a customer who wears them to a themed fancy-dress party. Siddharth's mother learns what happened from a cousin.
How blameworthy is Siddharth for selling the garments without his mother's knowledge?","In the scenario concerning inherited ceremonial garments, what central action was taken?",He sold the garments without telling his mother,He returned them to the family trunk,His mother donated them,He wore them at a family wedding,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S24_Q3,S24,Sanctity/Degradation,low,Affected party/object,"Siddharth inherited a set of silk garments that had been worn by his great-grandmother during her wedding ceremony three generations ago. In his family, these garments were kept in a specific trunk, never washed with commercial detergent, and brought out only during weddings and major religious occasions — this treatment had been observed without exception for sixty years. When Siddharth moves to a new city and needs to raise money quickly, he sells the garments to a vintage clothing dealer without telling his mother, who is still living. The dealer sells them to a customer who wears them to a themed fancy-dress party. Siddharth's mother learns what happened from a cousin.
How blameworthy is Siddharth for selling the garments without his mother's knowledge?","In the scenario concerning inherited ceremonial garments, who or what was directly affected?",A newly purchased suit,The inherited garments and the family connection attached to them,The dealer's shop furniture,A cousin's vehicle,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S24_Q4,S24,Sanctity/Degradation,low,Consequence/outcome,"Siddharth inherited a set of silk garments that had been worn by his great-grandmother during her wedding ceremony three generations ago. In his family, these garments were kept in a specific trunk, never washed with commercial detergent, and brought out only during weddings and major religious occasions — this treatment had been observed without exception for sixty years. When Siddharth moves to a new city and needs to raise money quickly, he sells the garments to a vintage clothing dealer without telling his mother, who is still living. The dealer sells them to a customer who wears them to a themed fancy-dress party. Siddharth's mother learns what happened from a cousin.
How blameworthy is Siddharth for selling the garments without his mother's knowledge?","In the scenario concerning inherited ceremonial garments, what consequence or outcome is explicitly stated?",The garments remained in the family trunk,The dealer returned them before resale,"A customer wore them to a fancy-dress party, and his mother learned from a cousin",His mother approved the sale beforehand,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
