work_unit_id,scenario_id,foundation,shift_tier,model_key,model_id,input_language,scenario_version,action_correct,actor_correct,affected_correct,consequence_correct,correct_count_0_4,scenario_all_4_correct,raw_response,prompt_tokens,completion_tokens,total_tokens,cost_usd
S18__ta__literal__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,1,0,1,1,3,0,"A,D,A,B",778,4,782,0.001985
S18__bn__literal__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,bn,literal,1,0,1,1,3,0,"A, D, A, B",1666,10,1676,0.005148
S18__ta__literal__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,ta,literal,1,1,1,1,4,1,"C, D, A, B",560,7,567,0.000903
S18__ta__literal__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,ta,literal,1,0,1,1,3,0,"A,D,A,B",1961,10,1971,0.006033
S18__ta__adapted__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,1,0,1,1,3,0,"A,D,A,B",738,4,742,0.001885
S18__es__literal__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,es,literal,1,1,1,1,4,1,"C,D,A,B",501,4,505,0.0012925
S18__ta__adapted__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,ta,adapted,1,1,1,1,4,1,"C,D,A,B",1871,10,1881,0.005763
S18__ta__adapted__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,ta,adapted,1,1,1,1,4,1,"C, D, A, B",530,7,537,0.000858
S18__es__adapted__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,1,0,1,1,3,0,"A,D,A,B",402,4,406,0.001045
S18__es__literal__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,es,literal,1,1,1,1,4,1,"C, D, A, B",490,7,497,0.000798
S18__es__literal__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,es,literal,1,1,1,1,4,1,"C,D,A,B",651,10,661,0.002103
S18__ja__literal__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,ja,literal,1,1,1,1,4,1,C、D、A、B,713,7,720,0.0018525
S18__es__adapted__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,es,adapted,1,1,1,1,4,1,"C, D, A, B",394,7,401,0.000654
S18__es__adapted__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,es,adapted,1,1,1,1,4,1,"C,D,A,B",531,10,541,0.001743
S18__ja__adapted__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,ja,adapted,1,0,1,1,3,0,"A, D, A, B",609,7,616,0.0015925
S18__ja__literal__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,ja,literal,1,1,1,1,4,1,"C, D, A, B",500,7,507,0.000813
S18__ja__adapted__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,ja,adapted,1,1,1,1,4,1,"C, D, A, B",430,7,437,0.000708
S18__ar__adapted__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,ar,adapted,1,1,1,1,4,1,C، D، A، B,371,7,378,0.0009975
S18__ja__literal__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,ja,literal,1,1,1,1,4,1,C、D、A、B,826,10,836,0.002628
S18__ar__literal__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,ar,literal,1,1,1,1,4,1,"C, D, A, B",446,7,453,0.000732
S18__ar__literal__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,ar,literal,1,1,1,1,4,1,C، D، A، B,870,10,880,0.00276
S18__ar__literal__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,ar,literal,1,1,1,1,4,1,C، D، A، B,429,7,436,0.0011425
S18__ja__adapted__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,ja,adapted,1,1,1,1,4,1,C、D、A、B,710,10,720,0.00228
S18__ar__adapted__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,ar,adapted,1,1,1,1,4,1,"C, D, A, B",375,7,382,0.0006255
S18__ar__adapted__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,ar,adapted,1,1,1,1,4,1,C، D، A، B,738,10,748,0.002364
S20__hi__adapted__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,1,0,1,1,3,0,"A, C, D, A",512,7,519,0.00135
S20__hi__literal__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,hi,literal,1,1,1,1,4,1,"B, C, D, A",443,7,450,0.0007275
S20__bn__adapted__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,1,1,1,1,4,1,"B, C, D, A",599,7,606,0.0015675
S20__hi__adapted__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,hi,adapted,1,1,1,1,4,1,"B, C, D, A",437,7,444,0.0007185
S20__bn__literal__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,1,1,1,1,4,1,"B, C, D, A",573,7,580,0.0015025
S20__bn__literal__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,bn,literal,1,1,1,1,4,1,"B, C, D, A",1522,10,1532,0.004716
S20__bn__literal__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,bn,literal,1,1,1,1,4,1,"B, C, D, A",425,7,432,0.0007005
S20__hi__adapted__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,hi,adapted,1,1,1,1,4,1,"B, C, D, A",1168,10,1178,0.003654
S20__hi__literal__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,hi,literal,1,1,1,1,4,1,"B, C, D, A",1198,10,1208,0.003744
S20__ta__literal__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,1,0,1,1,3,0,"A,C,D,A",740,4,744,0.00189
S20__bn__adapted__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,bn,adapted,1,1,1,1,4,1,"B, C, D, A",449,7,456,0.0007365
S20__bn__adapted__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,bn,adapted,1,1,1,1,4,1,"B, C, D, A",1611,10,1621,0.004983
S20__ta__literal__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,ta,literal,1,1,1,1,4,1,"B, C, D, A",534,7,541,0.000864
S20__ta__adapted__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,1,0,1,1,3,0,"A,C,D,A",727,4,731,0.0018575
S20__ta__adapted__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,ta,adapted,1,1,1,1,4,1,"B, C, D, A",532,7,539,0.000861
S20__ja__literal__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,ja,literal,1,0,1,1,3,0,A、C、D、A,681,7,688,0.0017725
S20__hi__literal__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,0,1,1,3,0,"ए, सी, डी, ए",523,7,530,0.0013775
S20__es__adapted__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,1,0,1,1,3,0,"A,C,D,A",377,4,381,0.0009825
S20__ja__literal__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,ja,literal,1,1,1,1,4,1,"B, C, D, A",490,7,497,0.000798
S20__es__literal__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,es,literal,1,0,1,1,3,0,"A,C,D,A",444,4,448,0.00115
S20__es__adapted__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,es,adapted,1,0,1,1,3,0,"A, C, D, A",380,7,387,0.000633
S20__es__literal__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,es,literal,1,0,1,1,3,0,"A, C, D, A",447,7,454,0.0007335
S20__ta__literal__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,ta,literal,1,0,1,1,3,0,"A,C,D,A",1810,10,1820,0.00558
S20__es__literal__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,es,literal,1,0,1,1,3,0,"A,C,D,A",602,10,612,0.001956
S20__ta__adapted__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,ta,adapted,1,0,1,1,3,0,"A,C,D,A",1769,10,1779,0.005457
S20__es__adapted__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,es,adapted,1,0,1,1,3,0,"A,C,D,A",511,10,521,0.001683
S20__ja__literal__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,ja,literal,1,0,1,1,3,0,A、C、D、A,770,10,780,0.00246
S20__ja__adapted__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,ja,adapted,1,0,1,1,3,0,A、C、D、A,603,7,610,0.0015775
S20__ja__adapted__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,ja,adapted,1,0,1,1,3,0,"A, C, D, A",432,7,439,0.000711
S20__ja__adapted__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,ja,adapted,1,0,1,1,3,0,A、C、D、A,684,10,694,0.002202
S20__ar__adapted__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,ar,adapted,1,1,1,1,4,1,B، C، D، A,367,7,374,0.0009875
S20__ar__literal__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,ar,literal,1,1,1,1,4,1,"B, C, D, A",445,7,452,0.0007305
S20__ar__literal__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,ar,literal,1,0,1,1,3,0,A، C، D، A,857,10,867,0.002721
S20__ar__adapted__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,ar,adapted,1,0,1,1,3,0,A، C، D، A,715,10,725,0.002295
S22__hi__literal__chatgpt,S22,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,1,1,1,4,1,"B, C, D, A",595,7,602,0.0015575
S20__ar__literal__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,ar,literal,1,0,1,1,3,0,A، C، D، A,435,7,442,0.0011575
S22__hi__literal__gemini_flash,S22,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,hi,literal,1,1,1,1,4,1,"B, C, D, A",503,7,510,0.0008175
S20__ar__adapted__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,ar,adapted,1,0,1,1,3,0,"A, C, D, A",374,7,381,0.000624
S22__hi__adapted__chatgpt,S22,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,1,0,1,1,3,0,"C, C, D, A",573,7,580,0.0015025
S22__hi__literal__claude,S22,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,hi,literal,1,1,1,1,4,1,"B, C, D, A",1366,10,1376,0.004248
S22__bn__literal__chatgpt,S22,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,1,1,1,1,4,1,"B, C, D, A",621,7,628,0.0016225
S22__hi__adapted__gemini_flash,S22,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,hi,adapted,1,1,1,1,4,1,"B, C, D, A",492,7,499,0.000801
S22__bn__literal__gemini_flash,S22,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,bn,literal,1,1,1,1,4,1,"B, C, D, A",458,7,465,0.00075
S22__bn__adapted__chatgpt,S22,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,1,1,1,1,4,1,"B, C, D, A",608,7,615,0.00159
S22__bn__literal__claude,S22,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,bn,literal,1,1,1,1,4,1,"B, C, D, A",1613,10,1623,0.004989
S22__hi__adapted__claude,S22,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,hi,adapted,1,1,1,1,4,1,"B, C, D, A",1299,10,1309,0.004047
S22__bn__adapted__claude,S22,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,bn,adapted,1,1,1,1,4,1,"B, C, D, A",1584,10,1594,0.004902
S22__bn__adapted__gemini_flash,S22,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,bn,adapted,1,1,1,1,4,1,"B, C, D, A",456,7,463,0.000747
S22__ta__adapted__chatgpt,S22,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,1,1,1,1,4,1,"B,C,D,A",736,4,740,0.00188
S22__ta__literal__gemini_flash,S22,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,ta,literal,1,1,1,1,4,1,"B, C, D, A",560,7,567,0.000903
S22__ta__literal__claude,S22,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,ta,literal,1,1,1,1,4,1,"B,C,D,A",1894,10,1904,0.005832
S22__es__literal__chatgpt,S22,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,es,literal,1,1,1,1,4,1,"B,C,D,A",454,4,458,0.001175
S22__ta__adapted__gemini_flash,S22,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,ta,adapted,1,1,1,1,4,1,"B, C, D, A",559,7,566,0.0009015
S22__es__literal__claude,S22,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,es,literal,1,1,1,1,4,1,"B,C,D,A",590,10,600,0.00192
S22__ta__adapted__claude,S22,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,ta,adapted,1,1,1,1,4,1,"B,C,D,A",1876,10,1886,0.005778
S22__es__literal__gemini_flash,S22,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,es,literal,1,1,1,1,4,1,"B, C, D, A",454,7,461,0.000744
S22__es__adapted__chatgpt,S22,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,1,0,1,1,3,0,"C,C,D,A",381,4,385,0.0009925
S22__ta__literal__chatgpt,S22,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,1,1,1,1,4,1,"B,C,D,A",737,4,741,0.0018825
S22__es__adapted__claude,S22,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,es,adapted,1,0,1,1,3,0,"C,C,D,A",493,10,503,0.001629
S22__ja__literal__chatgpt,S22,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,ja,literal,1,0,1,1,3,0,D、C、D、A,672,7,679,0.00175
S22__ja__adapted__chatgpt,S22,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,ja,adapted,1,1,1,1,4,1,B、C、D、A,588,7,595,0.00154
S22__ja__literal__gemini_flash,S22,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,ja,literal,1,1,1,1,4,1,"B, C, D, A",480,7,487,0.000783
S22__ja__literal__claude,S22,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,ja,literal,1,1,1,1,4,1,B、C、D、A,780,10,790,0.00249
S22__ja__adapted__gemini_flash,S22,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,ja,adapted,1,1,1,1,4,1,"B, C, D, A",424,7,431,0.000699
S22__ja__adapted__claude,S22,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,ja,adapted,1,1,1,1,4,1,B、C、D、A,678,10,688,0.002184
S22__ar__literal__claude,S22,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,ar,literal,1,1,1,1,4,1,B، C، D، A,870,10,880,0.00276
S22__ar__literal__chatgpt,S22,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,ar,literal,1,1,1,1,4,1,B، C، D، A,443,7,450,0.0011775
S22__ar__literal__gemini_flash,S22,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,ar,literal,1,1,1,1,4,1,"B, C, D, A",453,7,460,0.0007425
S22__ar__adapted__chatgpt,S22,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,ar,adapted,1,1,1,1,4,1,B، C، D، A,365,7,372,0.0009825
S22__ar__adapted__gemini_flash,S22,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,ar,adapted,1,1,1,1,4,1,"B, C, D, A",369,7,376,0.0006165
S23__hi__literal__chatgpt,S23,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,1,1,1,4,1,"A, B, C, D",575,7,582,0.0015075
S23__hi__literal__gemini_flash,S23,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,hi,literal,1,1,1,1,4,1,"A, B, C, D",487,7,494,0.0007935
S23__hi__literal__claude,S23,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,hi,literal,1,1,1,1,4,1,"A, B, C, D",1265,10,1275,0.003945
S23__hi__adapted__chatgpt,S23,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,1,1,1,1,4,1,"A, B, C, D",584,7,591,0.00153
S22__ar__adapted__claude,S22,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,ar,adapted,1,1,1,1,4,1,B، C، D، A,698,10,708,0.002244
S23__bn__literal__chatgpt,S23,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,1,1,1,1,4,1,"A, B, C, D",580,7,587,0.00152
S23__hi__adapted__gemini_flash,S23,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,hi,adapted,1,1,1,1,4,1,"A, B, C, D",486,7,493,0.000792
S22__es__adapted__gemini_flash,S22,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,es,adapted,1,1,1,1,4,1,"B, C, D, A",382,7,389,0.000636
S23__hi__adapted__claude,S23,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,hi,adapted,1,1,1,1,4,1,"A, B, C, D",1307,10,1317,0.004071
S23__bn__literal__gemini_flash,S23,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,bn,literal,1,1,1,1,4,1,"A, B, C, D",428,7,435,0.000705
S23__bn__adapted__chatgpt,S23,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,1,1,1,1,4,1,"A, B, C, D",623,7,630,0.0016275
S23__ta__literal__chatgpt,S23,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,1,1,1,1,4,1,"A,B,C,D",740,4,744,0.00189
S23__bn__literal__claude,S23,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,bn,literal,1,1,1,1,4,1,"A, B, C, D",1518,10,1528,0.004704
S23__ta__literal__claude,S23,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,ta,literal,1,1,1,1,4,1,"A,B,C,D",1823,10,1833,0.005619
S23__ta__literal__gemini_flash,S23,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,ta,literal,1,1,1,1,4,1,"A, B, C, D",556,7,563,0.000897
S23__bn__adapted__claude,S23,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,bn,adapted,1,1,1,1,4,1,"A, B, C, D",1679,10,1689,0.005187
S23__ta__adapted__chatgpt,S23,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,1,1,1,1,4,1,"A,B,C,D",725,4,729,0.0018525
S23__ta__adapted__claude,S23,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,ta,adapted,1,1,1,1,4,1,"A,B,C,D",1813,10,1823,0.005589
S23__es__literal__chatgpt,S23,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,es,literal,1,1,1,1,4,1,"A,B,C,D",461,4,465,0.0011925
S23__ta__adapted__gemini_flash,S23,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,ta,adapted,1,1,1,1,4,1,"A, B, C, D",548,7,555,0.000885
S23__es__literal__gemini_flash,S23,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,es,literal,1,1,1,1,4,1,"A, B, C, D",466,7,473,0.000762
S23__es__literal__claude,S23,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,es,literal,1,1,1,1,4,1,"A,B,C,D",601,10,611,0.001953
S23__es__adapted__chatgpt,S23,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,1,1,1,1,4,1,"A,B,C,D",385,4,389,0.0010025
S23__es__adapted__claude,S23,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,es,adapted,1,1,1,1,4,1,"A,B,C,D",509,10,519,0.001677
S23__es__adapted__gemini_flash,S23,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,es,adapted,1,1,1,1,4,1,"A, B, C, D",388,7,395,0.000645
S23__ja__literal__chatgpt,S23,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,ja,literal,1,1,1,1,4,1,A、B、C、D,677,7,684,0.0017625
S23__bn__adapted__gemini_flash,S23,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,bn,adapted,1,1,1,1,4,1,"A, B, C, D",445,7,452,0.0007305
S23__ja__literal__gemini_flash,S23,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,ja,literal,1,1,1,1,4,1,"A, B, C, D",491,7,498,0.0007995
S23__ja__literal__claude,S23,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,ja,literal,1,1,1,1,4,1,A、B、C、D,763,10,773,0.002439
S23__ar__literal__chatgpt,S23,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,ar,literal,1,1,1,1,4,1,A، B، C، D,427,7,434,0.0011375
S23__ja__adapted__chatgpt,S23,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,ja,adapted,1,1,1,1,4,1,A、B、C、D,591,7,598,0.0015475
S23__ar__adapted__chatgpt,S23,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,ar,adapted,1,1,1,1,4,1,A، B، C، D,361,7,368,0.0009725
S23__ja__adapted__claude,S23,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,ja,adapted,1,1,1,1,4,1,A、B、C、D,667,10,677,0.002151
S23__ar__literal__claude,S23,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,ar,literal,1,1,1,1,4,1,A، B، C، D,824,10,834,0.002622
S23__ar__literal__gemini_flash,S23,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,ar,literal,1,1,1,1,4,1,"A, B, C, D",438,7,445,0.00072
S24__hi__literal__chatgpt,S24,Sanctity/Degradation,low,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,1,1,1,4,1,"डी, ए, बी, सी",603,7,610,0.0015775
S23__ar__adapted__gemini_flash,S23,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,ar,adapted,1,1,1,1,4,1,"A, B, C, D",370,7,377,0.000618
S23__ar__adapted__claude,S23,Sanctity/Degradation,high,claude,anthropic/claude-sonnet-4.6,ar,adapted,1,1,1,1,4,1,A، B، C، D,697,10,707,0.002241
S24__hi__literal__claude,S24,Sanctity/Degradation,low,claude,anthropic/claude-sonnet-4.6,hi,literal,1,1,1,1,4,1,"D, A, B, C",1301,10,1311,0.004053
S23__ja__adapted__gemini_flash,S23,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,ja,adapted,1,1,1,1,4,1,"A, B, C, D",429,7,436,0.0007065
S24__hi__literal__gemini_flash,S24,Sanctity/Degradation,low,gemini_flash,google/gemini-3.5-flash,hi,literal,1,1,1,1,4,1,"D, A, B, C",510,7,517,0.000828
S24__hi__adapted__chatgpt,S24,Sanctity/Degradation,low,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,1,1,1,1,4,1,"डी, ए, बी, सी",578,7,585,0.001515
S24__hi__adapted__claude,S24,Sanctity/Degradation,low,claude,anthropic/claude-sonnet-4.6,hi,adapted,1,1,1,1,4,1,"D, A, B, C",1210,10,1220,0.00378
S24__hi__adapted__gemini_flash,S24,Sanctity/Degradation,low,gemini_flash,google/gemini-3.5-flash,hi,adapted,1,1,1,1,4,1,"D, A, B, C",488,7,495,0.000795
S24__bn__adapted__chatgpt,S24,Sanctity/Degradation,low,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,1,1,1,1,4,1,"D, A, B, C",688,7,695,0.00179
S24__bn__literal__chatgpt,S24,Sanctity/Degradation,low,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,1,1,1,1,4,1,"D, A, B, C",677,7,684,0.0017625
S24__bn__literal__gemini_flash,S24,Sanctity/Degradation,low,gemini_flash,google/gemini-3.5-flash,bn,literal,1,1,1,1,4,1,"D, A, B, C",458,7,465,0.00075
S24__bn__adapted__claude,S24,Sanctity/Degradation,low,claude,anthropic/claude-sonnet-4.6,bn,adapted,1,1,1,1,4,1,"D, A, B, C",1691,10,1701,0.005223
S24__bn__adapted__gemini_flash,S24,Sanctity/Degradation,low,gemini_flash,google/gemini-3.5-flash,bn,adapted,1,1,1,1,4,1,"D, A, B, C",460,7,467,0.000753
S24__ta__literal__chatgpt,S24,Sanctity/Degradation,low,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,1,1,1,1,4,1,"D,A,B,C",783,4,787,0.0019975
S24__bn__literal__claude,S24,Sanctity/Degradation,low,claude,anthropic/claude-sonnet-4.6,bn,literal,1,1,1,1,4,1,"D, A, B, C",1680,10,1690,0.00519
S24__ta__adapted__chatgpt,S24,Sanctity/Degradation,low,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,1,1,1,1,4,1,"D,A,B,C",784,4,788,0.002
S24__ta__literal__gemini_flash,S24,Sanctity/Degradation,low,gemini_flash,google/gemini-3.5-flash,ta,literal,1,1,1,1,4,1,"D, A, B, C",574,7,581,0.000924
S24__es__literal__chatgpt,S24,Sanctity/Degradation,low,chatgpt,openai/gpt-4o-2024-11-20,es,literal,1,1,1,1,4,1,"D,A,B,C",474,4,478,0.001225
S24__ta__literal__claude,S24,Sanctity/Degradation,low,claude,anthropic/claude-sonnet-4.6,ta,literal,1,1,1,1,4,1,"D,A,B,C",1883,10,1893,0.005799
S24__ta__adapted__gemini_flash,S24,Sanctity/Degradation,low,gemini_flash,google/gemini-3.5-flash,ta,adapted,1,1,1,1,4,1,"D, A, B, C",575,7,582,0.0009255
S24__es__adapted__chatgpt,S24,Sanctity/Degradation,low,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,1,1,1,1,4,1,"D,A,B,C",393,4,397,0.0010225
S24__es__literal__gemini_flash,S24,Sanctity/Degradation,low,gemini_flash,google/gemini-3.5-flash,es,literal,1,1,1,1,4,1,"D, A, B, C",474,7,481,0.000774
S24__ja__literal__chatgpt,S24,Sanctity/Degradation,low,chatgpt,openai/gpt-4o-2024-11-20,ja,literal,1,1,1,1,4,1,D、A、B、C,686,7,693,0.001785
