work_unit_id,scenario_id,foundation,shift_tier,model_key,model_id,input_language,scenario_version,action_correct,actor_correct,affected_correct,consequence_correct,correct_count_0_4,scenario_all_4_correct,raw_response,prompt_tokens,completion_tokens,total_tokens,cost_usd,rating_condition_id,english_baseline_rating,matched_condition_rating,absolute_rating_shift,comprehension_proportion,any_comprehension_error,shift_tier_manuscript
S12__hi__adapted__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,1,1,1,1,4,1,"C, D, A, B",568,7,575,0.00149,hi_adapted_reason_en,3.0,3.0,0.0,1.0,0,Lower-shift
S12__hi__literal__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,hi,literal,1,1,1,1,4,1,"C, D, A, B",489,7,496,0.0007965,hi_translation_reason_en,4.0,5.0,1.0,1.0,0,Lower-shift
S06__ar__adapted__claude,S06,Loyalty/Betrayal,low,claude,anthropic/claude-sonnet-4.6,ar,adapted,1,1,1,1,4,1,C، D، A، B,769,10,779,0.002457,ar_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S12__hi__adapted__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,hi,adapted,1,1,1,1,4,1,"C, D, A, B",482,7,489,0.000786,hi_adapted_reason_en,4.0,4.0,0.0,1.0,0,Lower-shift
S12__bn__adapted__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,1,0,1,1,3,0,"A, D, A, B",638,7,645,0.001665,bn_adapted_reason_en,3.0,3.0,0.0,0.75,1,Lower-shift
S12__bn__literal__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,bn,literal,1,1,1,1,4,1,"C, D, A, B",1580,10,1590,0.00489,bn_translation_reason_en,4.0,4.0,0.0,1.0,0,Lower-shift
S12__bn__literal__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,bn,literal,1,1,1,1,4,1,"C, D, A, B",454,7,461,0.000744,bn_translation_reason_en,4.0,5.0,1.0,1.0,0,Lower-shift
S12__hi__adapted__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,hi,adapted,1,1,1,1,4,1,"C, D, A, B",1308,10,1318,0.004074,hi_adapted_reason_en,4.0,4.0,0.0,1.0,0,Lower-shift
S12__bn__literal__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,1,0,1,1,3,0,"A, D, A, B",616,7,623,0.00161,bn_translation_reason_en,3.0,3.0,0.0,0.75,1,Lower-shift
S12__ta__literal__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,1,1,1,1,4,1,"C,D,A,B",727,4,731,0.0018575,ta_translation_reason_en,3.0,3.0,0.0,1.0,0,Lower-shift
S12__bn__adapted__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,bn,adapted,1,1,1,1,4,1,"C, D, A, B",1662,10,1672,0.005136,bn_adapted_reason_en,4.0,4.0,0.0,1.0,0,Lower-shift
S12__bn__adapted__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,bn,adapted,1,1,1,1,4,1,"C, D, A, B",464,7,471,0.000759,bn_adapted_reason_en,4.0,5.0,1.0,1.0,0,Lower-shift
S12__ta__adapted__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,1,1,1,1,4,1,"C,D,A,B",694,4,698,0.001775,ta_adapted_reason_en,3.0,3.0,0.0,1.0,0,Lower-shift
S12__ta__literal__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,ta,literal,1,1,1,1,4,1,"C, D, A, B",549,7,556,0.0008865,ta_translation_reason_en,4.0,5.0,1.0,1.0,0,Lower-shift
S12__es__literal__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,es,literal,1,1,1,1,4,1,"C,D,A,B",446,4,450,0.001155,es_translation_reason_en,3.0,3.0,0.0,1.0,0,Lower-shift
S12__ta__adapted__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,ta,adapted,1,1,1,1,4,1,"C, D, A, B",526,7,533,0.000852,ta_adapted_reason_en,4.0,5.0,1.0,1.0,0,Lower-shift
S12__es__adapted__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,1,1,1,1,4,1,"C,D,A,B",399,4,403,0.0010375,es_adapted_reason_en,3.0,3.0,0.0,1.0,0,Lower-shift
S12__ta__literal__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,ta,literal,1,1,1,1,4,1,"C,D,A,B",1772,10,1782,0.005466,ta_translation_reason_en,4.0,4.0,0.0,1.0,0,Lower-shift
S12__ja__literal__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,ja,literal,1,1,1,1,4,1,C、D、A、B,701,7,708,0.0018225,ja_translation_reason_en,3.0,3.0,0.0,1.0,0,Lower-shift
S12__es__literal__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,es,literal,1,1,1,1,4,1,"C, D, A, B",445,7,452,0.0007305,es_translation_reason_en,4.0,5.0,1.0,1.0,0,Lower-shift
S12__es__adapted__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,es,adapted,1,1,1,1,4,1,"C, D, A, B",397,7,404,0.0006585,es_adapted_reason_en,4.0,4.0,0.0,1.0,0,Lower-shift
S12__ta__adapted__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,ta,adapted,1,1,1,1,4,1,"C,D,A,B",1691,10,1701,0.005223,ta_adapted_reason_en,4.0,4.0,0.0,1.0,0,Lower-shift
S12__ja__adapted__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,ja,adapted,1,1,1,1,4,1,C、D、A、B,590,7,597,0.001545,ja_adapted_reason_en,3.0,3.0,0.0,1.0,0,Lower-shift
S12__es__literal__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,es,literal,1,1,1,1,4,1,"C,D,A,B",592,10,602,0.001926,es_translation_reason_en,4.0,4.0,0.0,1.0,0,Lower-shift
S12__es__adapted__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,es,adapted,1,1,1,1,4,1,"C,D,A,B",528,10,538,0.001734,es_adapted_reason_en,4.0,4.0,0.0,1.0,0,Lower-shift
S12__ja__literal__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,ja,literal,1,1,1,1,4,1,"C, D, A, B",511,7,518,0.0008295,ja_translation_reason_en,4.0,5.0,1.0,1.0,0,Lower-shift
S12__ja__adapted__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,ja,adapted,1,1,1,1,4,1,"C, D, A, B",424,7,431,0.000699,ja_adapted_reason_en,4.0,5.0,1.0,1.0,0,Lower-shift
S12__ar__literal__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,ar,literal,1,1,1,1,4,1,C، D، A، B,486,7,493,0.001285,ar_translation_reason_en,3.0,3.0,0.0,1.0,0,Lower-shift
S12__ja__literal__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,ja,literal,1,1,1,1,4,1,C、D、A、B,823,10,833,0.002619,ja_translation_reason_en,4.0,4.0,0.0,1.0,0,Lower-shift
S12__ar__literal__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,ar,literal,1,1,1,1,4,1,C، D، A، B,954,10,964,0.003012,ar_translation_reason_en,4.0,4.0,0.0,1.0,0,Lower-shift
S12__ar__adapted__chatgpt,S12,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,ar,adapted,1,1,1,1,4,1,C، D، A، B,385,7,392,0.0010325,ar_adapted_reason_en,3.0,4.0,1.0,1.0,0,Lower-shift
S12__ar__literal__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,ar,literal,1,1,1,1,4,1,"C, D, A, B",498,7,505,0.00081,ar_translation_reason_en,4.0,4.0,0.0,1.0,0,Lower-shift
S18__hi__literal__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,1,1,1,4,1,"C, D, A, B",599,7,606,0.0015675,hi_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S12__ar__adapted__gemini_flash,S12,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,ar,adapted,1,1,1,1,4,1,"C, D, A, B",390,7,397,0.000648,ar_adapted_reason_en,4.0,5.0,1.0,1.0,0,Lower-shift
S12__ja__adapted__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,ja,adapted,1,1,1,1,4,1,C、D、A、B,673,10,683,0.002169,ja_adapted_reason_en,4.0,4.0,0.0,1.0,0,Lower-shift
S18__hi__literal__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,hi,literal,1,1,1,1,4,1,"C, D, A, B",1430,10,1440,0.00444,hi_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S18__hi__adapted__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,1,0,1,1,3,0,"A, D, A, B",571,7,578,0.0014975,hi_adapted_reason_en,7.0,6.0,1.0,0.75,1,Lower-shift
S18__hi__literal__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,hi,literal,1,1,1,1,4,1,"C, D, A, B",508,7,515,0.000825,hi_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S18__bn__literal__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,1,0,1,1,3,0,"A, D, A, B",639,7,646,0.0016675,bn_translation_reason_en,7.0,7.0,0.0,0.75,1,Lower-shift
S18__hi__adapted__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,hi,adapted,1,1,1,1,4,1,"C, D, A, B",478,7,485,0.00078,hi_adapted_reason_en,7.0,6.0,1.0,1.0,0,Lower-shift
S18__bn__literal__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,bn,literal,1,0,1,1,3,0,"A, D, A, B",453,7,460,0.0007425,bn_translation_reason_en,7.0,7.0,0.0,0.75,1,Lower-shift
S12__ar__adapted__claude,S12,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,ar,adapted,1,1,1,1,4,1,C، D، A، B,748,10,758,0.002394,ar_adapted_reason_en,4.0,4.0,0.0,1.0,0,Lower-shift
S18__bn__adapted__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,1,0,1,1,3,0,"A, D, A, B",666,7,673,0.001735,bn_adapted_reason_en,7.0,7.0,0.0,0.75,1,Lower-shift
S18__hi__adapted__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,hi,adapted,1,1,1,1,4,1,"C, D, A, B",1362,10,1372,0.004236,hi_adapted_reason_en,7.0,6.0,1.0,1.0,0,Lower-shift
S18__bn__adapted__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,bn,adapted,1,0,1,1,3,0,"A, D, A, B",1746,10,1756,0.005388,bn_adapted_reason_en,7.0,7.0,0.0,0.75,1,Lower-shift
S18__bn__adapted__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,bn,adapted,1,1,1,1,4,1,"C, D, A, B",469,7,476,0.0007665,bn_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S18__ta__literal__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,1,0,1,1,3,0,"A,D,A,B",778,4,782,0.001985,ta_translation_reason_en,7.0,7.0,0.0,0.75,1,Lower-shift
S18__bn__literal__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,bn,literal,1,0,1,1,3,0,"A, D, A, B",1666,10,1676,0.005148,bn_translation_reason_en,7.0,7.0,0.0,0.75,1,Lower-shift
S18__ta__literal__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,ta,literal,1,1,1,1,4,1,"C, D, A, B",560,7,567,0.000903,ta_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S18__ta__literal__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,ta,literal,1,0,1,1,3,0,"A,D,A,B",1961,10,1971,0.006033,ta_translation_reason_en,7.0,7.0,0.0,0.75,1,Lower-shift
S18__ta__adapted__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,1,0,1,1,3,0,"A,D,A,B",738,4,742,0.001885,ta_adapted_reason_en,7.0,7.0,0.0,0.75,1,Lower-shift
S18__es__literal__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,es,literal,1,1,1,1,4,1,"C,D,A,B",501,4,505,0.0012925,es_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S18__ta__adapted__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,ta,adapted,1,1,1,1,4,1,"C,D,A,B",1871,10,1881,0.005763,ta_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S18__ta__adapted__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,ta,adapted,1,1,1,1,4,1,"C, D, A, B",530,7,537,0.000858,ta_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S18__es__adapted__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,1,0,1,1,3,0,"A,D,A,B",402,4,406,0.001045,es_adapted_reason_en,7.0,7.0,0.0,0.75,1,Lower-shift
S18__es__literal__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,es,literal,1,1,1,1,4,1,"C, D, A, B",490,7,497,0.000798,es_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S18__es__literal__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,es,literal,1,1,1,1,4,1,"C,D,A,B",651,10,661,0.002103,es_translation_reason_en,7.0,6.0,1.0,1.0,0,Lower-shift
S18__ja__literal__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,ja,literal,1,1,1,1,4,1,C、D、A、B,713,7,720,0.0018525,ja_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S18__es__adapted__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,es,adapted,1,1,1,1,4,1,"C, D, A, B",394,7,401,0.000654,es_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S18__es__adapted__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,es,adapted,1,1,1,1,4,1,"C,D,A,B",531,10,541,0.001743,es_adapted_reason_en,7.0,6.0,1.0,1.0,0,Lower-shift
S18__ja__adapted__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,ja,adapted,1,0,1,1,3,0,"A, D, A, B",609,7,616,0.0015925,ja_adapted_reason_en,7.0,7.0,0.0,0.75,1,Lower-shift
S18__ja__literal__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,ja,literal,1,1,1,1,4,1,"C, D, A, B",500,7,507,0.000813,ja_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S18__ja__adapted__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,ja,adapted,1,1,1,1,4,1,"C, D, A, B",430,7,437,0.000708,ja_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S18__ar__adapted__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,ar,adapted,1,1,1,1,4,1,C، D، A، B,371,7,378,0.0009975,ar_adapted_reason_en,7.0,6.0,1.0,1.0,0,Lower-shift
S18__ja__literal__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,ja,literal,1,1,1,1,4,1,C、D、A、B,826,10,836,0.002628,ja_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S18__ar__literal__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,ar,literal,1,1,1,1,4,1,"C, D, A, B",446,7,453,0.000732,ar_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S18__ar__literal__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,ar,literal,1,1,1,1,4,1,C، D، A، B,870,10,880,0.00276,ar_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S18__ar__literal__chatgpt,S18,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,ar,literal,1,1,1,1,4,1,C، D، A، B,429,7,436,0.0011425,ar_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S18__ja__adapted__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,ja,adapted,1,1,1,1,4,1,C、D、A、B,710,10,720,0.00228,ja_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S18__ar__adapted__gemini_flash,S18,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,ar,adapted,1,1,1,1,4,1,"C, D, A, B",375,7,382,0.0006255,ar_adapted_reason_en,7.0,6.0,1.0,1.0,0,Lower-shift
S18__ar__adapted__claude,S18,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,ar,adapted,1,1,1,1,4,1,C، D، A، B,738,10,748,0.002364,ar_adapted_reason_en,7.0,6.0,1.0,1.0,0,Lower-shift
S20__hi__adapted__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,1,0,1,1,3,0,"A, C, D, A",512,7,519,0.00135,hi_adapted_reason_en,6.0,4.0,2.0,0.75,1,Higher-shift
S20__hi__literal__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,hi,literal,1,1,1,1,4,1,"B, C, D, A",443,7,450,0.0007275,hi_translation_reason_en,6.0,6.0,0.0,1.0,0,Higher-shift
S20__bn__adapted__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,1,1,1,1,4,1,"B, C, D, A",599,7,606,0.0015675,bn_adapted_reason_en,6.0,5.0,1.0,1.0,0,Higher-shift
S20__hi__adapted__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,hi,adapted,1,1,1,1,4,1,"B, C, D, A",437,7,444,0.0007185,hi_adapted_reason_en,6.0,6.0,0.0,1.0,0,Higher-shift
S20__bn__literal__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,1,1,1,1,4,1,"B, C, D, A",573,7,580,0.0015025,bn_translation_reason_en,6.0,5.0,1.0,1.0,0,Higher-shift
S20__bn__literal__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,bn,literal,1,1,1,1,4,1,"B, C, D, A",1522,10,1532,0.004716,bn_translation_reason_en,6.0,6.0,0.0,1.0,0,Higher-shift
S20__bn__literal__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,bn,literal,1,1,1,1,4,1,"B, C, D, A",425,7,432,0.0007005,bn_translation_reason_en,6.0,6.0,0.0,1.0,0,Higher-shift
S20__hi__adapted__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,hi,adapted,1,1,1,1,4,1,"B, C, D, A",1168,10,1178,0.003654,hi_adapted_reason_en,6.0,5.0,1.0,1.0,0,Higher-shift
S20__hi__literal__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,hi,literal,1,1,1,1,4,1,"B, C, D, A",1198,10,1208,0.003744,hi_translation_reason_en,6.0,6.0,0.0,1.0,0,Higher-shift
S20__ta__literal__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,1,0,1,1,3,0,"A,C,D,A",740,4,744,0.00189,ta_translation_reason_en,6.0,5.0,1.0,0.75,1,Higher-shift
S20__bn__adapted__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,bn,adapted,1,1,1,1,4,1,"B, C, D, A",449,7,456,0.0007365,bn_adapted_reason_en,6.0,6.0,0.0,1.0,0,Higher-shift
S20__bn__adapted__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,bn,adapted,1,1,1,1,4,1,"B, C, D, A",1611,10,1621,0.004983,bn_adapted_reason_en,6.0,6.0,0.0,1.0,0,Higher-shift
S20__ta__literal__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,ta,literal,1,1,1,1,4,1,"B, C, D, A",534,7,541,0.000864,ta_translation_reason_en,6.0,6.0,0.0,1.0,0,Higher-shift
S20__ta__adapted__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,1,0,1,1,3,0,"A,C,D,A",727,4,731,0.0018575,ta_adapted_reason_en,6.0,4.0,2.0,0.75,1,Higher-shift
S20__ta__adapted__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,ta,adapted,1,1,1,1,4,1,"B, C, D, A",532,7,539,0.000861,ta_adapted_reason_en,6.0,6.0,0.0,1.0,0,Higher-shift
S20__ja__literal__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,ja,literal,1,0,1,1,3,0,A、C、D、A,681,7,688,0.0017725,ja_translation_reason_en,6.0,5.0,1.0,0.75,1,Higher-shift
S20__hi__literal__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,0,1,1,3,0,"ए, सी, डी, ए",523,7,530,0.0013775,hi_translation_reason_en,6.0,4.0,2.0,0.75,1,Higher-shift
S20__es__adapted__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,1,0,1,1,3,0,"A,C,D,A",377,4,381,0.0009825,es_adapted_reason_en,6.0,5.0,1.0,0.75,1,Higher-shift
S20__ja__literal__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,ja,literal,1,1,1,1,4,1,"B, C, D, A",490,7,497,0.000798,ja_translation_reason_en,6.0,6.0,0.0,1.0,0,Higher-shift
S20__es__literal__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,es,literal,1,0,1,1,3,0,"A,C,D,A",444,4,448,0.00115,es_translation_reason_en,6.0,5.0,1.0,0.75,1,Higher-shift
S20__es__adapted__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,es,adapted,1,0,1,1,3,0,"A, C, D, A",380,7,387,0.000633,es_adapted_reason_en,6.0,6.0,0.0,0.75,1,Higher-shift
S20__es__literal__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,es,literal,1,0,1,1,3,0,"A, C, D, A",447,7,454,0.0007335,es_translation_reason_en,6.0,6.0,0.0,0.75,1,Higher-shift
S20__ta__literal__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,ta,literal,1,0,1,1,3,0,"A,C,D,A",1810,10,1820,0.00558,ta_translation_reason_en,6.0,6.0,0.0,0.75,1,Higher-shift
S20__es__literal__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,es,literal,1,0,1,1,3,0,"A,C,D,A",602,10,612,0.001956,es_translation_reason_en,6.0,6.0,0.0,0.75,1,Higher-shift
S20__ta__adapted__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,ta,adapted,1,0,1,1,3,0,"A,C,D,A",1769,10,1779,0.005457,ta_adapted_reason_en,6.0,6.0,0.0,0.75,1,Higher-shift
S20__es__adapted__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,es,adapted,1,0,1,1,3,0,"A,C,D,A",511,10,521,0.001683,es_adapted_reason_en,6.0,6.0,0.0,0.75,1,Higher-shift
S20__ja__literal__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,ja,literal,1,0,1,1,3,0,A、C、D、A,770,10,780,0.00246,ja_translation_reason_en,6.0,6.0,0.0,0.75,1,Higher-shift
S20__ja__adapted__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,ja,adapted,1,0,1,1,3,0,A、C、D、A,603,7,610,0.0015775,ja_adapted_reason_en,6.0,5.0,1.0,0.75,1,Higher-shift
S20__ja__adapted__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,ja,adapted,1,0,1,1,3,0,"A, C, D, A",432,7,439,0.000711,ja_adapted_reason_en,6.0,5.0,1.0,0.75,1,Higher-shift
S20__ja__adapted__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,ja,adapted,1,0,1,1,3,0,A、C、D、A,684,10,694,0.002202,ja_adapted_reason_en,6.0,5.0,1.0,0.75,1,Higher-shift
S20__ar__adapted__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,ar,adapted,1,1,1,1,4,1,B، C، D، A,367,7,374,0.0009875,ar_adapted_reason_en,6.0,3.0,3.0,1.0,0,Higher-shift
S20__ar__literal__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,ar,literal,1,1,1,1,4,1,"B, C, D, A",445,7,452,0.0007305,ar_translation_reason_en,6.0,5.0,1.0,1.0,0,Higher-shift
S20__ar__literal__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,ar,literal,1,0,1,1,3,0,A، C، D، A,857,10,867,0.002721,ar_translation_reason_en,6.0,6.0,0.0,0.75,1,Higher-shift
S20__ar__adapted__claude,S20,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,ar,adapted,1,0,1,1,3,0,A، C، D، A,715,10,725,0.002295,ar_adapted_reason_en,6.0,4.0,2.0,0.75,1,Higher-shift
S22__hi__literal__chatgpt,S22,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,1,1,1,4,1,"B, C, D, A",595,7,602,0.0015575,hi_translation_reason_en,5.0,6.0,1.0,1.0,0,Higher-shift
S20__ar__literal__chatgpt,S20,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,ar,literal,1,0,1,1,3,0,A، C، D، A,435,7,442,0.0011575,ar_translation_reason_en,6.0,4.0,2.0,0.75,1,Higher-shift
S22__hi__literal__gemini_flash,S22,Sanctity/Degradation,high,gemini_flash,google/gemini-3.5-flash,hi,literal,1,1,1,1,4,1,"B, C, D, A",503,7,510,0.0008175,hi_translation_reason_en,5.0,5.0,0.0,1.0,0,Higher-shift
S20__ar__adapted__gemini_flash,S20,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,ar,adapted,1,0,1,1,3,0,"A, C, D, A",374,7,381,0.000624,ar_adapted_reason_en,6.0,4.0,2.0,0.75,1,Higher-shift
S22__hi__adapted__chatgpt,S22,Sanctity/Degradation,high,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,1,0,1,1,3,0,"C, C, D, A",573,7,580,0.0015025,hi_adapted_reason_en,5.0,5.0,0.0,0.75,1,Higher-shift
